Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
51374865	Building Models by Games	1	Hodges, Wilfrid				Dover Publications (2006), Paperback, 336 pages	2006					Building Models by Games by Wilfrid Hodges (2006)	Paperback	336 p.; 9.1 inches	0.9 pounds	9.1 inches	0.7 inches	6 inches	9.1 x 6 x 0.7 inches	336 							Model Theory	Your library, Mathematics - Model Theory		English	QA9.7 .H63	[0486450171]	0486450171, 9780486450179	Game theory|Model theory	511.34	Finite Model Theory > General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			1831238				
51374866	Fourier Series and Boundary Value Problems	1	Churchill, Ruel Vance				McGraw-Hill Companies (1987), Edition: 4th, Hardcover, 292 pages	1987					Fourier Series and Boundary Value Problems by Ruel Vance Churchill (1987)	Hardcover	292 p.; 9.3 inches	1.45 pounds	9.3 inches	0.7 inches	7.5 inches	9.3 x 7.5 x 0.7 inches	292 								Your library, Mathematics - General		English	QA404 .C6	[0070108811]	0070108811, 9780070108813	Boundary value problems|Fourier series|Functions, Orthogonal	517.355	Calculus > Integral > Laplace's functions; Bessel's and allied functions > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			260408				
51374868	The Blue and Brown Books	5	Wittgenstein, Ludwig				Harper Perennial (1942), Paperback, 208 pages	1942					The Blue and Brown Books by Ludwig Wittgenstein (1942)	Paperback	208 p.; 7.8 inches	0.3 pounds	7.8 inches	0.6 inches	5.3 inches	7.8 x 5.3 x 0.6 inches	208 								Your library, Philosophy		German	B3376 .W563	[0061312118]	0061312118, 9780061312113	Semantics (Philosophy)|Wittgenstein, Ludwig, 1889-1951. Philosophische Untersuchungen	100	General Philosophy > Philosophy > Philosophy and Psychology		1	amazon.com	[2009-09-28]			25105				
51374869	The Practice of Vajrakilaya	5	Rinpoche, Khenpo Namdrol				Snow Lion Publications (1999), Paperback, 90 pages	1999					The Practice of Vajrakilaya by Khenpo Namdrol Rinpoche (1999)	Paperback	90 p.; 8.51 inches	0.31 pounds	8.51 inches	0.35 inches	5.52 inches	8.51 x 5.52 x 0.35 inches	90 								Your library, Religion - Buddhism, Hinduism				[1559391030]	1559391030, 9781559391030		294.3420423	Buddhism > Buddhism - practice > Metaphysical aspects > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			2045695				
51374870	Set Theory and Its Philosophy: A Critical Introduction	1	Potter, Michael				Oxford University Press, USA (2004), Paperback, 360 pages	2004					Set Theory and Its Philosophy: A Critical Introduction by Michael Potter (2004)	Paperback	360 p.; 9 inches	1.2 pounds	9 inches	0.7 inches	6.1 inches	9 x 6.1 x 0.7 inches	360 							Set Theory	Your library, Mathematics - Set Theory		English	QA248 .P675	[0199270414]	0199270414, 9780199270415	Set theory > Philosophy	511.322	General Principles > Logic > Mathematics > Mathematics and Science > Set Theory		1	amazon.com	[2009-09-28]			5638				
51374871	Godel's Incompleteness Theorems (Oxford Logic Guides, No 19)	1	Smullyan, Raymond M.				Oxford University Press, USA (1992), Edition: First, Hardcover, 160 pages	1992					Godel's Incompleteness Theorems (Oxford Logic Guides, No 19) by Raymond M. Smullyan (1992)	Hardcover	160 p.; 9.3 inches	0.85 pounds	9.3 inches	0.6 inches	6.3 inches	9.3 x 6.3 x 0.6 inches	160 								Your library, Mathematics - Logic		English	QA9.65 .S69	[0195046722]	0195046722, 9780195046724	GÃ¶del's theorem|Gèodel's theorem	511.3	General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			360373				
51374873	Zohar: The Book of Splendor: Basic Readings from the Kabbalah	1	Scholem, Gershom				Schocken (1995), Paperback, 128 pages	1995					Zohar: The Book of Splendor: Basic Readings from the Kabbalah by Gershom Scholem (1995)	Paperback	128 p.; 7.8 inches	0.3 pounds	7.8 inches	0.5 inches	4.7 inches	7.8 x 4.7 x 0.5 inches	128 								Your library, Religion - Judaism			BM525 .A52	[0805210342]	0805210342, 9780805210347	Bible. O.T. Pentateuch > Commentaries|Cabala|Cabala > Early works to 1800	296.16	Jewish writings > Judaism > Kabbalah > Other Religions > Religion 		1	amazon.com	[2009-09-28]			133010				
51374874	The Logic of Provability	5	Boolos, George S.				Cambridge University Press (1995), Paperback, 316 pages	1995					The Logic of Provability by George S. Boolos (1995)	Paperback	316 p.; 8.9 inches	1.06 pounds	8.9 inches	0.94 inches	5.98 inches	8.9 x 5.98 x 0.94 inches	316 								Your library, Mathematics - Logic			BC199 .M6 .B65	[0521483255]	0521483255, 9780521483254		160	Logic > Logic > Philosophy and Psychology		1	amazon.com	[2009-09-28]			379252				
51374876	Derrida for Beginners (Writers and Readers Documentary Comic Book.)	1	Powell, Jim				Writers & Readers Publishing (1996), Paperback, 186 pages	1996					Derrida for Beginners (Writers and Readers Documentary Comic Book.) by Jim Powell (1996)	Paperback	186 p.; 8.9 inches	0.45 pounds	8.9 inches	0.6 inches	5.9 inches	8.9 x 5.9 x 0.6 inches	186 								Your library, Non-fiction - General, Philosophy		English	B2430 .D484	[0863161391]	0863161391, 9780863161391	Deconstruction|Derrida, Jacques	194	French > Modern western philosophy > Philosophy and Psychology		1	amazon.com	[2009-09-28]			27683				
51374877	Fixing Frege (Princeton Monographs in Philosophy)	1	Burgess, John P.				Princeton University Press (2005), Hardcover, 272 pages	2005					Fixing Frege (Princeton Monographs in Philosophy) by John P. Burgess (2005)	Hardcover	272 p.; 8.5 inches	0.9 pounds	8.5 inches	1 inch	5.5 inches	8.5 x 5.5 x 1 inches	272 								Your library, Mathematics - Logic		English	QA9 .B854	[0691122318]	0691122318, 9780691122311		511.3	General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			354614				
