Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
51374646	Ancient Wisdom: Nyingma Teachings of Dream Yoga, Mediatation & Transformation	1	Rinpoche, Gyatrul				Snow Lion Publications (1993), Edition: 1st, Paperback, 176 pages	1993					Ancient Wisdom: Nyingma Teachings of Dream Yoga, Mediatation & Transformation by Gyatrul Rinpoche (1993)	Paperback	176 p.; 8.4 inches	0.4 pounds	8.4 inches	0.5 inches	5.5 inches	8.4 x 5.5 x 0.5 inches	176 								Your library, Religion - Buddhism, Hinduism			BQ7662.6 .G93	[1559390182]	1559390182, 9781559390187	RÃ±iá¹…-ma-pa (Sect) > Doctrines|Spiritual life > RÃ±iá¹…-ma-pa (Sect)	294.3444	Buddhism > Buddhism - practice > Meditation > Other Religions > Personal Spiritual Path and Practice > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1108767				
51374648	Walking through Walls: A Presentation of Tibetan Meditation	1	Lodro, Geshe Gendun				Snow Lion Publications (1992), Edition: 1, Paperback, 448 pages	1992					Walking through Walls: A Presentation of Tibetan Meditation by Geshe Gendun Lodro (1992)	Paperback	448 p.; 8.9 inches	1.55 pounds	8.9 inches	1.3 inches	6 inches	8.9 x 6 x 1.3 inches	448 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ7805 .L63	[1559390042]	1559390042, 9781559390040	Buddhism > China > Tibet > Doctrines|Meditation > Buddhism|Vipaâsyanåa (Buddhism)|âSamatha (Buddhism)	294.3443	Buddhism > Buddhism - practice > Meditation > Meditation & Mindfulness > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1108710				
51374649	Myriad Worlds: Buddhist Cosmology in Abhidharma, Lalachakra & Dzog-chen	1	Taye, Jamgon Kongtrul Lodro				Snow Lion Publications (1995), Paperback, 304 pages	1995					Myriad Worlds: Buddhist Cosmology in Abhidharma, Lalachakra & Dzog-chen by Jamgon Kongtrul Lodro Taye (1995)	Paperback	304 p.; 8.9 inches	1.01 pounds	8.9 inches	0.63 inches	5.91 inches	8.9 x 5.91 x 0.63 inches	304 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ7632 .K66213	[1559390336]	1559390336, 9781559390330		294.3424	Buddhism > Buddhism - practice > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			308416				
51374650	The Cat Who Covered The World: The Adventures Of Henrietta And Her Foreign Correspondent	5	Wren, Christopher S.				Simon & Schuster (2000), Edition: 2nd printing, Hardcover, 208 pages	2000					The Cat Who Covered The World: The Adventures Of Henrietta And Her Foreign Correspondent by Christopher S. Wren (2000)	Hardcover	208 p.; 8.4 inches	0.8 pounds	8.4 inches	0.9 inches	5.9 inches	8.4 x 5.9 x 0.9 inches	208 								Your library, Humor, Non-fiction - General		English	PN4874 .W727	[0684871009]	0684871009, 9780684871004	Cats|Cats > Anecdotes|Cats > United States > Biography|Foreign correspondents > United States > Biography|Foreign correspondents > United States > Travel|Henrietta (Cat)|Voyages and travels|Voyages and travels > Anecdotes|Wren, Christopher S. (Christopher Sale), 1936-|Wren, Christopher S., 1936- > Journeys|cats	910.41092	Biography and History > Circumnavigation of the Earth > Geography and Travels  > Geography, Voyages And Travel > Special Topics		1	amazon.com	[2009-09-28]			121793				
51374651	Lectures on the Hyperreals: An Introduction to Nonstandard Analysis (Graduate Texts in Mathematics)	1	Goldblatt, Robert				Springer (1998), Edition: 1, Hardcover, 312 pages	1998					Lectures on the Hyperreals: An Introduction to Nonstandard Analysis (Graduate Texts in Mathematics) by Robert Goldblatt (1998)	Hardcover	312 p.; 9.3 inches	1.25 pounds	9.3 inches	1 inch	6.3 inches	9.3 x 6.3 x 1 inches	312 							Model Theory	Your library, Mathematics - Model Theory		English	QA299.82 .G65	[038798464X]	038798464X, 9780387984643		515	Analysis > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			3111574				
51374652	Chanting the Names of Manjusri: The Manjusri Nama Samgiti (Sanskrit and Tibetan Edition)	1	Waymen, Alex				Motilal Banarsidass, (1999), Edition: 1, Hardcover, 123 pages	1999					Chanting the Names of Manjusri: The Manjusri Nama Samgiti (Sanskrit and Tibetan Edition) by Alex Waymen (1999)	Hardcover	123 p.; 9.5 inches	1 pound	9.5 inches	0.6 inches	7.3 inches	9.5 x 7.3 x 0.6 inches	123 								Your library, Religion - Buddhism, Hinduism				[8120816536]	8120816536, 9788120816534					1	amazon.com	[2009-09-28]			6179481				
51374653	What is Mathematical Logic?	1	Ash, C. J.				Dover Publications (1990), Paperback, 82 pages	1990					What is Mathematical Logic? by C. J. Ash (1990)	Paperback	96 p.; 8.3 inches	0.3 pounds	8.3 inches	0.3 inches	5.4 inches	8.3 x 5.4 x 0.3 inches	96 								Your library, Mathematics - Logic		English	QA9 .W47	[0486264041]	0486264041, 9780486264042	Logic, Symbolic and mathematical	511.3	General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			532232				
51374654	The Heart Treasure of the Enlightened Ones: The Practice of View, Meditation, and Action: A Discourse Virtuous in the Beginning, Middle, and End	5	Rinpoche, Patrul				Shambhala (1993), Edition: 1st, Paperback, 260 pages	1993					The Heart Treasure of the Enlightened Ones: The Practice of View, Meditation, and Action: A Discourse Virtuous in the Beginning, Middle, and End by Patrul Rinpoche (1993)	Paperback	260 p.; 8.3 inches	0.65 pounds	8.3 inches	0.9 inches	5.4 inches	8.3 x 5.4 x 0.9 inches	260 								Your library, Religion - Buddhism, Hinduism			BQ4138 .T55	[0877734933]	0877734933, 9780877734932		294.342	Buddhism > Buddhism - practice > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			536809				
51374657	Matrix of Mystery: Scientific and Humanistic Aspects of rDzogs-chen Thought	1	Guenther, Herbert V.				Shambhala (2001), Paperback, 328 pages	2001					Matrix of Mystery: Scientific and Humanistic Aspects of rDzogs-chen Thought by Herbert V. Guenther (2001)	Paperback	328 p.; 8.8 inches	1 pound	8.8 inches	0.9 inches	5.9 inches	8.8 x 5.9 x 0.9 inches	328 								Your library, Religion - Buddhism, Hinduism		English	BQ7662.4 .G83	[1570626499]	1570626499, 9781570626494		294	Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			241481				
51374658	The Tantric Distinction, Revised: A Buddhist's Reflections on Compassion and Emptiness	5	Hopkins, Jeffrey				Wisdom Publications (1999), Edition: Revised, Paperback, 176 pages	1999					The Tantric Distinction, Revised: A Buddhist's Reflections on Compassion and Emptiness by Jeffrey Hopkins (1999)	Paperback	192 p.; 9 inches	0.69 pounds	9 inches	0.63 inches	6.05 inches	9 x 6.05 x 0.63 inches	192 								Your library, Religion - Buddhism, Hinduism		English	BQ7634 .H66	[0861711548]	0861711548, 9780861711543	Compassion > Religious aspects > Tantric Buddhism|Compassion > Tantric Buddhism|Spiritual life > Tantric Buddhism|Sunyata|Tantric Buddhism > Doctrines	294.3420425	Buddhism > Buddhism - practice > Metaphysical aspects > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			1124376				
51374659	Scholastic Sanskrit: A Manual for Students (Treasury of the Indic Sciences)	1	Tubb, Gary A.				American Institute of Buddhist Studies (2007), Edition: First, Hardcover, 336 pages	2007					Scholastic Sanskrit: A Manual for Students (Treasury of the Indic Sciences) by Gary A. Tubb (2007)	Hardcover	336 p.; 9.1 inches	1.45 pounds	9.1 inches	1.1 inches	6.4 inches	9.1 x 6.4 x 1.1 inches	336 								Your library, Religion - Buddhism, Hinduism		English		[0975373471]	0975373471, 9780975373477		891.2808	Literature > Literature of other Indo-European languages > Miscellany > Other Languages > Sanskrit		1	amazon.com	[2009-09-28]			3584982				
51374660	Knowing, Naming and Negation: A Sourcebook on Tibetan Sautrantika (Translations in Indo-Tibetan Buddhism)	1	Klein, Anne				Snow Lion Publications (1991), Paperback, 342 pages	1991					Knowing, Naming and Negation: A Sourcebook on Tibetan Sautrantika (Translations in Indo-Tibetan Buddhism) by Anne Klein (1991)	Paperback	342 p.; 8.49 inches	1.12 pounds	8.49 inches	0.97 inches	5.52 inches	8.49 x 5.52 x 0.97 inches	342 								Your library, Religion - Buddhism, Hinduism			BQ7255 .S38	[0937938211]	0937938211, 9780937938218	Buddhism > Tibet > Doctrines|SautrÄntikas > Tibet	181.043	Ancient, medieval and eastern philosophy > Buddhism > Oriental > Philosophy and Psychology > Religions of Indic Origin		1	amazon.com	[2009-09-28]			1115341				
51374661	Hilbert's 10th Problem (Foundations of Computing)	1	Matiyasevich, Yuri				The MIT Press (1993), Hardcover, 288 pages	1993					Hilbert's 10th Problem (Foundations of Computing) by Yuri Matiyasevich (1993)	Hardcover	288 p.; 8.8 inches	1.3 pounds	8.8 inches	0.9 inches	7.3 inches	8.8 x 7.3 x 0.9 inches	288 								Your library, Mathematics - Computability Theory		Russian	QA242 .M4213	[0262132958]	0262132958, 9780262132954		512.7	Algebra > Involution and evolution > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			939070				
51374663	Condensed Chaos: An Introduction to Chaos Magic	1	Hine, Phil				New Falcon Publications (1995), Paperback, 192 pages	1995					Condensed Chaos: An Introduction to Chaos Magic by Phil Hine (1995)	Paperback	192 p.; 8.46 inches	0.57 pounds	8.46 inches	0.51 inches	5.51 inches	8.46 x 5.51 x 0.51 inches	192 								Your library, Magick - General		English	BF1611 .H56	[156184117X]	156184117X, 9781561841172		133	Parapsychology And Occultism > Philosophy and Psychology > Specific Topics		1	amazon.com	[2009-09-28]			66239				
51374665	The Goetia: The Lesser Key of Solomon the King (Clavicula Salomonis Regis)	5	Crowley, Aleister				Weiser Books (1995), Edition: 2 Sub, Paperback, 160 pages	1995					The Goetia: The Lesser Key of Solomon the King (Clavicula Salomonis Regis) by Aleister Crowley (1995)	Paperback	160 p.; 10 inches	0.7 pounds	10 inches	0.6 inches	7 inches	10 x 7 x 0.6 inches	160 								Your library, Magick - General			BF1611 .C5413	[087728847X]	087728847X, 9780877288473	Demonology|Magic|Magic > Early works to 1800|Magic, Jewish > Early works to 1800|magic	133.43	Parapsychology And Occultism > Philosophy and Psychology > Specific Topics > Witchcraft - Sorcery > Witchcraft and Magickal Practice		1	amazon.com	[2009-09-28]			53250				
51374666	Logic, Logic, and Logic	1	Boolos, George				Harvard University Press (1999), Paperback, 460 pages	1999					Logic, Logic, and Logic by George Boolos (1999)	Paperback	454 p.; 8.8 inches	1.3 pounds	8.8 inches	1.2 inches	5.7 inches	8.8 x 5.7 x 1.2 inches	454 								Your library, Mathematics - Logic		English	BC51 .B58	[067453767X]	067453767X, 9780674537675		160	Logic > Logic > Philosophy and Psychology		1	amazon.com	[2009-09-28]			354636				
51374667	Mulamadhyamakakarika of Nagarjuna: The Philosophy of the Middle Way (Introd., Skt. Text, Eng. Tr.and Annot.)	1	Nagarjuna				Motilal Banarsidass, (1999), Hardcover, 412 pages	1999					Mulamadhyamakakarika of Nagarjuna: The Philosophy of the Middle Way (Introd., Skt. Text, Eng. Tr.and Annot.) by Nagarjuna (1999)	Hardcover	412 p.; 8.58 inches	1.32 pounds	8.58 inches	1.34 inches	5.98 inches	8.58 x 5.98 x 1.34 inches	412 								Your library, Religion - Buddhism, Hinduism			BQ2792 .E5	[812080774X]	812080774X, 9788120807747	Måadhyamika (Buddhism) > Early works to 1800	294.385	Buddhism > Buddhist scripture > Mahayana - Sutras > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			128908				
51374668	Upanisads (Oxford World's Classics)	1	Olivelle, Patrick				Oxford University Press, USA (1998), Paperback, 512 pages	1998					Upanisads (Oxford World's Classics) by Patrick Olivelle (1998)	Paperback	512 p.; 0.39 inches	0.77 pounds	0.39 inches	0.39 inches	0.39 inches	0.39 x 0.39 x 0.39 inches	512 								Your library, Religion - Buddhism, Hinduism			BL1120 .A3	[0192835769]	0192835769, 9780192835765	Hinduism > Sacred books|Mysticism > Hinduism|Philosophy, Hindu|Sanskrit literature > Translations into English|Spiritual life > Hinduism	230	Christianity > Christianity > Religion 		1	amazon.com	[2009-09-28]			29530				
51374669	Three-Fisted Tales of "Bob"	1	Stang, Ivan				Fireside (1990), Paperback, 352 pages	1990					Three-Fisted Tales of "Bob" by Ivan Stang (1990)	Paperback	352 p.; 9.1 inches	1.3 pounds	9.1 inches	1 inch	7.3 inches	9.1 x 7.3 x 1 inches	352 								Your library, Subgenius and other Weird Stuff		English	PS648 .S3	[0671671901]	0671671901, 9780671671907	Science Fiction, American|Science fiction, American	813.0876208	Adventure Fiction > American And Canadian > Anthologies And Criticism > Fantasy Fiction And Science Fiction > Fiction > Genre Fiction > Literature		1	amazon.com	[2009-09-28]			88146				
51374670	Indian Metaphysics and Epistemology: The Tradition of Nyaya-Vaisesika Up to Gangesa	1	Potter, Karl H.				Princeton University Press (1978), Hardcover, 760 pages	1978					Indian Metaphysics and Epistemology: The Tradition of Nyaya-Vaisesika Up to Gangesa by Karl H. Potter (1978)	Hardcover							760 								Your library, Religion - Buddhism, Hinduism			B131 B132 .N8	[0691071837]	0691071837, 9780691071831		181.43	Ancient, medieval and eastern philosophy > Indian > NyÄya > Oriental > Philosophy and Psychology		1	amazon.com	[2009-09-28]			8658367				
51374671	Enochian Magic for Beginners: The Original System of Angel Magic (For Beginners (Llewellyn's))	1	Tyson, Donald				Llewellyn Publications (2002), Edition: 1st, Paperback, 416 pages	2002					Enochian Magic for Beginners: The Original System of Angel Magic (For Beginners (Llewellyn's)) by Donald Tyson (2002)	Paperback	416 p.; 7.8 inches	1.05 pounds	7.8 inches	1.2 inches	5 inches	7.8 x 5 x 1.2 inches	416 								Your library, Magick - General		English	BF1623 .E55	[1567187471]	1567187471, 9781567187472	Dee, John, 1527-1608|Enochian language|Enochian magic|Kelly, Edward, 1555-1598	133.43	Parapsychology And Occultism > Philosophy and Psychology > Specific Topics > Witchcraft - Sorcery > Witchcraft and Magickal Practice		1	amazon.com	[2009-09-28]			252922				
51374673	Atheism: A Philosophical Justification	1	Martin, Michael				Temple University Press (1992), Paperback, 541 pages	1992					Atheism: A Philosophical Justification by Michael Martin (1992)	Paperback	541 p.; 8.8 inches	1.7 pounds	8.8 inches	1.3 inches	6.6 inches	8.8 x 6.6 x 1.3 inches	541 								Your library, Philosophy		English	BL2747.3 .M3313	[0877229430]	0877229430, 9780877229438		211	Deism and Atheism  > Religion  > Theory		1	amazon.com	[2009-09-28]			170211				
51374674	Dharmakirti's Theory of Inference: Revaluation and Reconstruction	1	Prasad, Rajendra				Oxford University Press, USA (2002), Hardcover, 320 pages	2002					Dharmakirti's Theory of Inference: Revaluation and Reconstruction by Rajendra Prasad (2002)	Hardcover	320 p.; 8.5 inches	1.15 pounds	8.5 inches	0.79 inches	5.75 inches	8.5 x 5.75 x 0.79 inches	320 								Your library, Religion - Buddhism, Hinduism				[0195657845]	0195657845, 9780195657845		181	Ancient, medieval and eastern philosophy > Oriental > Philosophy and Psychology		1	amazon.com	[2009-09-28]			9015846				
51374675	In the Beginning: A New Interpretation of Genesis	1	Armstrong, Karen				Knopf (1996), Edition: 1, Hardcover, 195 pages	1996					In the Beginning: A New Interpretation of Genesis by Karen Armstrong (1996)	Hardcover	195 p.; 7.5 inches	0.8 pounds	7.5 inches	0.9 inches	6 inches	7.5 x 6 x 0.9 inches	195 								Your library, Religion - Judaism		English	BS1235.2 .A76	[0679450890]	0679450890, 9780679450894	Bible. O.T. Genesis > Criticism, interpretation, etc	222.1106	Bible > Genesis > Historical Books  > Pentateuch > Religion 		1	amazon.com	[2009-09-28]			262661				
51374676	On Quaternions and Octonions	1	Conway, John Horton				AK Peters (2003), Edition: 1st, Hardcover, 159 pages	2003					On Quaternions and Octonions by John Horton Conway (2003)	Hardcover	159 p.; 8.98 inches	0.79 pounds	8.98 inches	0.55 inches	6.06 inches	8.98 x 6.06 x 0.55 inches	159 								Your library, Mathematics - General		English	QA196 .C66	[1568811349]	1568811349, 9781568811345	Cayley numbers|Quaternions	512.5	Algebra > Combinatory analysis > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			485311				
51374677	Raja-Yoga	1	Vivekananda, Swami				Ramakrishna-Vivekananda Center (1980), Edition: Revised, Paperback, 327 pages	1980					Raja-Yoga by Swami Vivekananda (1980)	Paperback	327 p.; 7.9 inches	0.9 pounds	7.9 inches	1.4 inches	5.3 inches	7.9 x 5.3 x 1.4 inches	327 								Your library, Religion - Buddhism, Hinduism		English	B132 .V3	[091120623X]	091120623X, 9780911206234	Yoga	613	Health; Hygiene  > Medicine > Technology		1	amazon.com	[2009-09-28]			65599				
51374678	The Jewel Ornament of Liberation: The Wish-Fulfilling Gem of the Noble Teachings	5	Gampopa				Snow Lion Publications (1998), Paperback, 520 pages	1998					The Jewel Ornament of Liberation: The Wish-Fulfilling Gem of the Noble Teachings by Gampopa (1998)	Paperback	520 p.; 8.7 inches	1.7 pounds	8.7 inches	1.2 inches	6 inches	8.7 x 6 x 1.2 inches	520 								Your library, Religion - Buddhism, Hinduism		Tibetan	BQ4330 .S513	[1559390921]	1559390921, 9781559390927	Bodhisattva stages (Mahayana Buddhism)|Bodhisattva stages (Mahayana Buddhism) > Early works to 1800|Mahayana Buddhism > Doctrines|Mahayana Buddhism > Doctrines > Early works to 1800|Mahayana Buddhism > Early works to 1800|Religious life > Early works to 1800|Religious life > Mahayana Buddhism|Religious life > Mahayana Buddhism > Early works to 1800	294.342	Buddhism > Buddhism - practice > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			536812				
51374680	The Zohar : Pritzker Edition, Volume 4	5	Matt, Daniel				Stanford University Press (2007), Edition: Pritzker ed, Hardcover, 592 pages	2007					The Zohar : Pritzker Edition, Volume 4 by Daniel Matt (2007)	Hardcover	592 p.; 10.1 inches	2.65 pounds	10.1 inches	1.7 inches	6.9 inches	10.1 x 6.9 x 1.7 inches	592 								Your library, Religion - Judaism			BM525 .A52 M37	[0804757127]	0804757127, 9780804757126		296	Judaism > Other Religions > Religion 		1	amazon.com	[2009-09-28]			3657826				
51374682	Buddhist Phenomenology: A Philosophical Investigation of Yogacara Buddhism and the Ch'eng Wei-shih Lun (Curzon Critical Studies in Buddhism, 13)	1	Lusthaus, Dan				RoutledgeCurzon (2003), Edition: annotated edition, Hardcover, 632 pages	2003					Buddhist Phenomenology: A Philosophical Investigation of Yogacara Buddhism and the Ch'eng Wei-shih Lun (Curzon Critical Studies in Buddhism, 13) by Dan Lusthaus (2003)	Hardcover	632 p.; 9.3 inches	2.35 pounds	9.3 inches	1.6 inches	6.3 inches	9.3 x 6.3 x 1.6 inches	632 								Your library, Religion - Buddhism, Hinduism		English	BQ7496 .L87	[0700711864]	0700711864, 9780700711864	Knowledge, Theory of (Buddhism)|Phenomenology|Xuanzang, ca. 596-664. Cheng wei shi lun|Yogacara (Buddhism)	181	Ancient, medieval and eastern philosophy > Oriental > Philosophy and Psychology		1	amazon.com	[2009-09-28]			2354328				
51374683	Recursion Theory (Lecture Notes In Logic, 1) (Lecture Notes in Logic, 1.)	1	Shoenfield, Joseph R.				A K Peters Ltd (2001), Edition: Reissue, Paperback, 96 pages	2001					Recursion Theory (Lecture Notes In Logic, 1) (Lecture Notes in Logic, 1.) by Joseph R. Shoenfield (2001)	Paperback	96 p.; 9 inches	0.35 pounds	9 inches	0.3 inches	6.3 inches	9 x 6.3 x 0.3 inches	96 								Your library, Mathematics - Computability Theory			QA9.6	[1568811497]	1568811497, 9781568811499		511.35	General Principles > Logic > Mathematics > Mathematics and Science > Theory Of Computation		1	amazon.com	[2009-09-28]			933161				
51374685	Dictionary of Hindu Lore and Legend	1	Dallapiccola, Anna L.				Thames & Hudson (2004), Paperback, 224 pages	2004					Dictionary of Hindu Lore and Legend by Anna L. Dallapiccola (2004)	Paperback	224 p.; 9.37 inches	1.32 pounds	9.37 inches	0.71 inches	6.14 inches	9.37 x 6.14 x 0.71 inches	224 								Your library, Religion - Buddhism, Hinduism		English	BL1105	[0500284024]	0500284024, 9780500284025		294.51303	Hinduism > Mythologies > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			384463				
51374686	Meditation and Kabbalah	1	Kaplan, Aryeh				Weiser Books (1989), Paperback, 368 pages	1989					Meditation and Kabbalah by Aryeh Kaplan (1989)	Paperback	368 p.; 9.02 inches	1.23 pounds	9.02 inches	1.07 inches	5.72 inches	9.02 x 5.72 x 1.07 inches	368 								Your library, Religion - Judaism		English	BM525 .K334	[0877286167]	0877286167, 9780877286165	Abulafia, Abraham ben Samuel, 1240-ca. 1292|Cabala|Hasidism|Judaism > Doctrines|Luria, Isaac ben Solomon, 1534-1572|Meditation > Judaism|Mysticism > Judaism	296.71	Experience and Psychology of Judaism > Jewish life and customs > Judaism > Other Religions > Religion 		1	amazon.com	[2009-09-28]			53222				
51374687	tao te ching: Liber Clvii: The Equinox (Vol. 3, No. 8) (Equinox, V. 3, No. 8)	1	Crowley, Aleister				Red Wheel / Weiser (1995), Paperback, 128 pages	1995					tao te ching: Liber Clvii: The Equinox (Vol. 3, No. 8) (Equinox, V. 3, No. 8) by Aleister Crowley (1995)	Paperback	128 p.; 8.99 inches	0.49 pounds	8.99 inches	0.38 inches	6.06 inches	8.99 x 6.06 x 0.38 inches	128 								Your library, Magick - General			BL1900 .L26	[0877288461]	0877288461, 9780877288466		299.51482	By Region/Civilization > Of Asian Origin > Other Religions > Religion  > Religions of Chinese Origin > Scriptures > Taoism		1	amazon.com	[2009-09-28]			3649116				
51374688	Biblical Hebrew: Step by Step Volume. 1	1	Mansoor, Menahem				Baker Book House (1999), Edition: 2nd, Paperback, 254 pages	1999					Biblical Hebrew: Step by Step Volume. 1 by Menahem Mansoor (1999)	Paperback	254 p.; 9.2 inches	1.1 pounds	9.2 inches	0.8 inches	6.7 inches	9.2 x 6.7 x 0.8 inches	254 								Your library, Religion - Judaism, Reference		English	PJ4567 .M23	[0801060419]	0801060419, 9780801060410	Hebrew language > Grammar	492.482421	Hebrew > Language > Other Languages > Semitic		1	amazon.com	[2009-09-28]			1445249				
51374690	Subsystems of Second Order Arithmetic (Perspectives in Mathematical Logic)	1	Simpson, Stephen G.				Springer-Verlag Telos (1999), Hardcover, 444 pages	1999					Subsystems of Second Order Arithmetic (Perspectives in Mathematical Logic) by Stephen G. Simpson (1999)	Hardcover	444 p.; 9.56 inches	1.8 pounds	9.56 inches	1.23 inches	6.47 inches	9.56 x 6.47 x 1.23 inches	444 								Your library, Mathematics - Logic			QA9.7 .S537	[3540648828]	3540648828, 9783540648826		511.3	General Principles > Logic > Mathematics > Mathematics and Science		1	amazon.com	[2009-09-28]			3580112				
51374691	Wild Awakening: The Heart of Mahamudra and Dzogchen	1	Rinpoche, Dzogchen Ponlop				Shambhala (2003), Paperback, 304 pages	2003					Wild Awakening: The Heart of Mahamudra and Dzogchen by Dzogchen Ponlop Rinpoche (2003)	Paperback	304 p.; 8.9 inches	0.93 pounds	8.9 inches	0.87 inches	5.91 inches	8.9 x 5.91 x 0.87 inches	304 								Your library, Religion - Buddhism, Hinduism		English	BQ8921 .M35	[1590300963]	1590300963, 9781590300961		294.3443	Buddhism > Buddhism - practice > Meditation > Meditation & Mindfulness > Other Religions > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			120011				
51374692	Zen for Beginners	1	Blackstone, Judith				Writers & Readers Publishing (1986), Edition: 2nd, Paperback, 176 pages	1986					Zen for Beginners by Judith Blackstone (1986)	Paperback	176 p.; 8.2 inches	0.6 pounds	8.2 inches	0.5 inches	5.4 inches	8.2 x 5.4 x 0.5 inches	176 								Your library, Religion - Buddhism, Hinduism		English	BQ9265.6 .B33	[0863161162]	0863161162, 9780863161162	Zen Buddhism|Zen buddhism	181	Ancient, medieval and eastern philosophy > Oriental > Philosophy and Psychology		1	amazon.com	[2009-09-28]			183023				
51374693	Maps of the Profound: Jamyang Shayba's Great Exposition of Buddhist and Non-Buddhist Views on the Nature of Reality	1	Hopkins, Jeffrey				Snow Lion Publications (2004), Hardcover, 1080 pages	2004					Maps of the Profound: Jamyang Shayba's Great Exposition of Buddhist and Non-Buddhist Views on the Nature of Reality by Jeffrey Hopkins (2004)	Hardcover	1080 p.; 9.5 inches	3.53 pounds	9.5 inches	2.4 inches	6.2 inches	9.5 x 6.2 x 2.4 inches	1080 								Your library, Religion - Buddhism, Hinduism			BQ4140 .J3 3	[155939207X]	155939207X, 9781559392075		294.3420423	Buddhism > Buddhism - practice > Metaphysical aspects > Other Religions > Practice and tantra > Religion  > Religions of Indic origin		1	amazon.com	[2009-09-28]			3650211				
51374694	The Disheveled Dictionary: A Curious Caper Through Our Sumptuous Lexicon	5	Gordon, Karen Elizabeth				Houghton Mifflin Harcourt (1997), Hardcover, 176 pages	1997					The Disheveled Dictionary: A Curious Caper Through Our Sumptuous Lexicon by Karen Elizabeth Gordon (1997)	Hardcover	176 p.; 7 inches	0.55 pounds	7 inches	0.8 inches	5.1 inches	7 x 5.1 x 0.8 inches	176 								Your library, Reference		English	PE1583 .G67	[0395689902]	0395689902, 9780395689905	English language > Glossaries, vocabularies, etc|Vocabulary|vocabulary	423	Dictionaries of standard English > English > Language		1	amazon.com	[2009-09-28]			80733				
51374695	Masters of Meditation and Miracles: Lives of the Great Buddhist Masters of India and Tibet (Buddhayana Series)	1	Thondup, Tulku				Shambhala (1999), Paperback, 383 pages	1999					Masters of Meditation and Miracles: Lives of the Great Buddhist Masters of India and Tibet (Buddhayana Series) by Tulku Thondup (1999)	Paperback	383 p.; 8.82 inches	1.15 pounds	8.82 inches	1.18 inches	5.91 inches	8.82 x 5.91 x 1.18 inches	383 								Your library, Religion - Buddhism, Hinduism		English	BQ7662.9 .A2 T48	[1570625093]	1570625093, 9781570625091	Meditation > Räniçn-ma-pa (Sect)|Räniçn-ma-pa lamas > China > Tibet > Biography	294.3923092	Buddhism > Buddhism - guides  > Mahayana Buddhism  > Other Religions > Religion  > Religions of Indic origin > Tibetan Buddhism		1	amazon.com	[2009-09-28]			249086				
51374696	Ngondro Commentary: Instructions for the Concise Preliminary Practices of the New Treasure of Dudjom	1	Chagdud, Tulku				Padma Publishing (1995), Paperback, 124 pages	1995					Ngondro Commentary: Instructions for the Concise Preliminary Practices of the New Treasure of Dudjom by Tulku Chagdud (1995)	Paperback	124 p.; 8.52 inches	0.43 pounds	8.52 inches	0.42 inches	5.58 inches	8.52 x 5.58 x 0.42 inches	124 								Your library, Religion - Buddhism, Hinduism		English		[1881847063]	1881847063, 9781881847069		294.3438	Activities > Buddhism > Buddhism - practice > Other Religions > Religion  > Religions of Indic origin > Rituals		1	amazon.com	[2009-09-28]			1846977				
51374699	Introduction to Topology: Second Edition	1	Gamelin, Theodore W.				Dover Publications (1999), Edition: 2, Paperback, 256 pages	1999					Introduction to Topology: Second Edition by Theodore W. Gamelin (1999)	Paperback	256 p.; 9.2 inches	0.69 pounds	9.2 inches	0.48 inches	6.15 inches	9.2 x 6.15 x 0.48 inches	256 								Your library, Mathematics - Topology		English	QA611 .G35	[0486406806]	0486406806, 9780486406800	Topology	514	Mathematics > Mathematics and Science > Trigonometry; topology 		1	amazon.com	[2009-09-28]			627731				
